aspect,aspect_label,review_id,app_name,issue,presence_hits,matched_keywords,snippet
risk,Risk,85922,Kredivo,Belum cukup spesifik,1,-,"sudah tidak bisa digunakan lagi,akibat keteledoran membayar angsuran yang tersisa 2 bulan sekaligus dengan maksud mau pengajuan lagi tapi jadi masalah yang berakibat fatal,akun..."
risk,Risk,143445,Akulaku,Belum cukup spesifik,1,-,"makek sudah 2 tahun lebih kok baru mau pinjem lagi pengajuan gagal karena skorkredit lah itu lahhh,,,mohon di cek lagi sistem atau apanya itu sudah puluhan kali pinjam kok baru..."
risk,Risk,103574,Akulaku,Belum cukup spesifik,1,-,"pengajuan tidak di acc, padahal sudah pernah pinjam dan bayar lebih cepat dari ketentuan, setelah itu kredit tidak naik, pas mau pinjam tidak di acc, apk macam apa ini, mau enak..."
trust,Trust,27573,Kredivo,Belum cukup spesifik,2,-,"bingung kadang sama ini aplikasi kita di suruh sering transaksi buat naikin score tapi giliran transaksi di tolak terus dengan alasan keamanan, aneh kalau mau aman tiap transaks..."
trust,Trust,34666,Kredivo,Belum cukup spesifik,2,-,"saya tidak tau ini apk untuk apa... tapi saya ditelpon seseorang, berdalih akan dikasih uang dan melunasi hutang saya.. ya nama nya lagi susah saya percaya aja.. setelah saya ma..."
trust,Trust,6629,Kredivo,Belum cukup spesifik,2,-,mohon maaf kredivo saya bintang 1 dulu dikarenakan kok saya sering bayar tidak pernah telat malah turun score kredit nya c data darimana saya sering bayar kalau mau bukti ada di...
service,Service,97838,Akulaku,Belum cukup spesifik,2,-,"terpaksa saya turunin bintang nya saya merasa kecewa sekali karena setiap pelunasan saya tidak pernah terlambat bahkan sebelum jatuh tempo saya sudah lunasin, tapi kenapa pengaj..."
service,Service,101090,Akulaku,Belum cukup spesifik,2,-,"aplikasih aneh sudah gada tagihan selama 2 bulan giliran mau ngajuin pinjaman/gunain paylater gbisa,ngcht di live cht begitu di oper"" giliran mau di jelasin permasalahinnya mala..."
service,Service,121667,Akulaku,Belum cukup spesifik,2,-,percuma punya limited 3jt lebih tidak bisa buat pengajuan kredit hp lagi? padahal yang tesik itu admin akulaku kok malah aplikasi akulaku di blokir? saya kecewa banget sama apli...
