keyword,aspect_count,aspects
akses kontak,2,"risk, trust"
akun dibekukan,2,"risk, trust"
akun diblokir,2,"risk, trust"
balasan,2,"service, trust"
belum cair,2,"risk, service"
blokir akun,2,"risk, trust"
bocor data,2,"risk, trust"
cair,2,"risk, service"
customer service,2,"service, trust"
data bocor,2,"risk, trust"
data pribadi,2,"risk, trust"
disalahgunakan,2,"risk, trust"
gagal cair,2,"risk, service"
hapus akun,2,"risk, trust"
hapus data,2,"risk, trust"
izin akses,2,"risk, trust"
kontak darurat,2,"risk, trust"
nomor kontak,2,"risk, trust"
pencairan,2,"risk, service"
penutupan akun,2,"risk, trust"
privasi,2,"risk, trust"
respon admin,2,"service, trust"
respon lambat,2,"service, trust"
riba,2,"risk, trust"
sebar data,2,"risk, trust"
tidak bisa login,2,"service, trust"
tidak dibalas,2,"service, trust"
